epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,11384.5,0.89579,1.35815,0.57596,0.92499,0.43226,0.38889,0.31258,0.10849,0.31423,0.27778,0.21728,0.07066,2.22274,3.52311,2.16411,1.86325,0.0014456,0.0014456,0.0014456
58,11580.5,0.89565,1.48086,0.58264,0.94043,0.34386,0.2963,0.23071,0.08634,0.32849,0.22222,0.1922,0.06083,2.47458,3.49064,2.35553,2.06211,0.0014357,0.0014357,0.0014357
59,11774.5,0.96518,1.42231,0.56398,0.90334,0.30532,0.38889,0.23893,0.09916,0.23612,0.37037,0.20399,0.05364,2.40291,3.231,2.7396,1.98075,0.0014258,0.0014258,0.0014258
60,11964.9,0.86098,1.38419,0.54304,0.91398,0.41231,0.25926,0.22301,0.09663,0.47814,0.33333,0.31165,0.06322,2.44228,3.40523,2.49004,2.05299,0.0014159,0.0014159,0.0014159
61,12155,0.97051,1.52741,0.56639,0.9334,0.31582,0.33333,0.2534,0.12747,0.33363,0.35185,0.27208,0.07491,2.21523,3.6405,1.67323,1.83967,0.001406,0.001406,0.001406
62,12378.8,0.9806,1.59999,0.59655,0.95142,0.33603,0.42593,0.35762,0.1607,0.31723,0.44444,0.33349,0.09393,2.14834,3.68472,1.56074,1.70684,0.0013961,0.0013961,0.0013961
63,12584.2,0.90618,1.3337,0.56373,0.91657,0.42212,0.48704,0.41068,0.17668,0.47622,0.37037,0.36012,0.11124,2.11553,3.71528,1.44403,1.68192,0.0013862,0.0013862,0.0013862
64,12778.7,0.90016,1.4401,0.58986,0.91833,0.47188,0.40741,0.42421,0.14645,0.51097,0.44444,0.43255,0.10619,2.20708,3.43236,1.6056,1.78696,0.0013763,0.0013763,0.0013763
65,12974,0.88799,1.37625,0.54246,0.91599,0.46041,0.42593,0.41208,0.14332,0.36082,0.40741,0.33162,0.09799,2.12731,3.21142,1.89177,1.67788,0.0013664,0.0013664,0.0013664
66,13190.2,0.93139,1.41413,0.58273,0.92378,0.41751,0.40741,0.39878,0.16334,0.33396,0.2963,0.27168,0.09367,1.95967,3.27093,1.89154,1.59279,0.0013565,0.0013565,0.0013565
67,13376.7,0.91615,1.45405,0.58651,0.89843,0.48035,0.48148,0.45668,0.20363,0.50276,0.33712,0.37704,0.12483,1.92138,3.24794,1.6788,1.57077,0.0013466,0.0013466,0.0013466
68,13574.1,0.90685,1.45605,0.55807,0.92369,0.58364,0.44444,0.45261,0.22319,0.57222,0.44444,0.41771,0.12178,1.82503,3.06224,1.68543,1.49706,0.0013367,0.0013367,0.0013367
69,13771.8,0.82342,1.36863,0.49289,0.91405,0.51462,0.38889,0.4043,0.21278,0.523,0.37037,0.32601,0.11307,1.77679,3.13927,1.55645,1.48744,0.0013268,0.0013268,0.0013268
70,13960.4,0.89277,1.34177,0.53037,0.91549,0.4218,0.42593,0.36157,0.20411,0.45113,0.35185,0.32273,0.1063,1.9398,3.25643,1.72171,1.61766,0.0013169,0.0013169,0.0013169
71,14148.8,0.85394,1.39659,0.51854,0.92978,0.478,0.46296,0.39478,0.19176,0.4009,0.37037,0.29006,0.10393,1.98748,3.02194,2.09393,1.66877,0.001307,0.001307,0.001307
72,14340.9,0.81535,1.31528,0.50359,0.89291,0.57458,0.42522,0.44975,0.21646,0.38168,0.35185,0.29838,0.10487,2.03697,2.99906,1.60794,1.64129,0.0012971,0.0012971,0.0012971
73,14538.4,0.84217,1.35575,0.51542,0.87489,0.75266,0.38889,0.46093,0.20162,0.34842,0.44444,0.30716,0.09837,2.06672,3.21882,1.39424,1.65273,0.0012872,0.0012872,0.0012872
74,14735.8,0.85468,1.50951,0.54097,0.91455,0.65455,0.33333,0.42691,0.19578,0.32763,0.40741,0.2903,0.10315,2.13221,3.03803,1.45997,1.72766,0.0012773,0.0012773,0.0012773
75,14936.2,0.82433,1.29411,0.49974,0.89364,0.72627,0.39318,0.45728,0.19449,0.47256,0.40741,0.34532,0.11786,2.21221,2.94922,1.44667,1.7872,0.0012674,0.0012674,0.0012674
76,15138.2,0.78255,1.24857,0.48056,0.88022,0.54922,0.55556,0.51206,0.21464,0.43435,0.44088,0.36013,0.10117,2.07422,3.01261,1.40937,1.67024,0.0012575,0.0012575,0.0012575
77,15326.3,0.82321,1.29485,0.50156,0.89688,0.61314,0.51852,0.51998,0.23043,0.46149,0.46027,0.39548,0.11512,2.02604,3.06734,1.37585,1.69701,0.0012476,0.0012476,0.0012476
78,15516.9,0.83965,1.35401,0.50967,0.88579,0.5205,0.48148,0.45885,0.22553,0.4482,0.42593,0.37342,0.12429,2.09697,2.98642,1.3508,1.76606,0.0012377,0.0012377,0.0012377
79,15699.8,0.83585,1.28868,0.50523,0.88169,0.57288,0.48148,0.4956,0.23278,0.49103,0.40741,0.40754,0.15039,2.05475,3.12215,1.32216,1.69194,0.0012278,0.0012278,0.0012278
